pair_id,variant,plain_size,transformed_size,encrypt_ns,hash_ns,send_ns,send_ts_us
120,0,128,0,0,0,5818,1763725854362064
120,1,128,256,61081,0,5995,1763725854362134
121,0,128,0,0,0,5835,1763725854362420
121,1,128,256,61141,0,5259,1763725854362489
122,0,128,0,0,0,5663,1763725854362764
122,1,128,256,60773,0,5238,1763725854362833
123,0,128,0,0,0,6156,1763725854363108
123,1,128,256,70750,0,6297,1763725854363189
124,0,128,0,0,0,7216,1763725854363468
124,1,128,256,72056,0,6663,1763725854363551
125,0,128,0,0,0,7335,1763725854363830
125,1,128,256,91096,0,6436,1763725854363931
126,0,128,0,0,0,7257,1763725854364228
126,1,128,256,72317,0,6793,1763725854364311
127,0,128,0,0,0,21665,1763725854364639
127,1,128,256,94042,0,8029,1763725854364745
128,0,128,0,0,0,9096,1763725854365047
128,1,128,256,80149,0,8300,1763725854365140
129,0,128,0,0,0,7794,1763725854365423
129,1,128,256,79212,0,7069,1763725854365513
130,0,128,0,0,0,10990,1763725854365805
130,1,128,256,107005,0,10303,1763725854365927
131,0,128,0,0,0,11926,1763725854366242
131,1,128,256,85185,0,9838,1763725854366341
132,0,128,0,0,0,12261,1763725854366635
132,1,128,256,86759,0,8670,1763725854366735
133,0,128,0,0,0,12170,1763725854366995
133,1,128,256,73969,0,7061,1763725854367080
134,0,128,0,0,0,8027,1763725854367362
134,1,128,256,72730,0,6891,1763725854367445
135,0,128,0,0,0,9093,1763725854367726
135,1,128,256,68249,0,5885,1763725854367803
136,0,128,0,0,0,9762,1763725854368097
136,1,128,256,66227,0,8976,1763725854368175
137,0,128,0,0,0,9979,1763725854368460
137,1,128,256,67422,0,10069,1763725854368541
138,0,128,0,0,0,9253,1763725854368827
138,1,128,256,67075,0,7626,1763725854368905
139,0,128,0,0,0,8407,1763725854369187
139,1,128,256,61484,0,7634,1763725854369260
140,0,128,0,0,0,7375,1763725854369536
140,1,128,256,55114,0,5283,1763725854369599
141,0,128,0,0,0,5306,1763725854369881
141,1,128,256,49279,0,4008,1763725854369937
142,0,128,0,0,0,5049,1763725854370207
142,1,128,256,47242,0,4721,1763725854370262
143,0,128,0,0,0,5541,1763725854370532
143,1,128,256,46901,0,4077,1763725854370585
144,0,128,0,0,0,4559,1763725854370853
144,1,128,256,44240,0,3724,1763725854370903
145,0,128,0,0,0,4646,1763725854371172
145,1,128,256,42394,0,3565,1763725854371219
146,0,128,0,0,0,4183,1763725854371494
146,1,128,256,41892,0,3626,1763725854371541
147,0,128,0,0,0,4021,1763725854371808
147,1,128,256,41674,0,3676,1763725854371856
148,0,128,0,0,0,4656,1763725854372125
148,1,128,256,41989,0,3711,1763725854372172
149,0,128,0,0,0,4304,1763725854372440
149,1,128,256,41948,0,3932,1763725854372488
150,0,128,0,0,0,5908,1763725854372759
150,1,128,256,46040,0,5028,1763725854372815
151,0,128,0,0,0,5515,1763725854373093
151,1,128,256,43889,0,4549,1763725854373144
152,0,128,0,0,0,5957,1763725854373414
152,1,128,256,38982,0,3896,1763725854373459
153,0,128,0,0,0,5288,1763725854373729
153,1,128,256,39235,0,3884,1763725854373774
154,0,128,0,0,0,3782,1763725854374039
154,1,128,256,33152,0,2919,1763725854374077
155,0,128,0,0,0,3153,1763725854374340
155,1,128,256,33023,0,2900,1763725854374378
156,0,128,0,0,0,3146,1763725854374647
156,1,128,256,33113,0,2783,1763725854374685
157,0,128,0,0,0,3749,1763725854374951
157,1,128,256,48758,0,3629,1763725854375005
158,0,128,0,0,0,3582,1763725854375270
158,1,128,256,35956,0,3133,1763725854375311
159,0,128,0,0,0,3742,1763725854375575
159,1,128,256,35965,0,3133,1763725854375616
160,0,128,0,0,0,3391,1763725854375887
160,1,128,256,37177,0,3285,1763725854375929
161,0,128,0,0,0,3864,1763725854376195
161,1,128,256,40395,0,3670,1763725854376241
162,0,128,0,0,0,3782,1763725854376508
162,1,128,256,41750,0,5107,1763725854376556
163,0,128,0,0,0,4096,1763725854376824
163,1,128,256,41780,0,3554,1763725854376871
164,0,128,0,0,0,3884,1763725854377137
