pair_id,variant,plain_size,transformed_size,recv_ts_us,payload_bytes
34580,0,128,0,1763725903455436,128
34580,4,128,32,1763725903455441,32
34581,0,128,0,1763725903455448,128
34581,4,128,32,1763725903455458,32
34582,0,128,0,1763725903455464,128
34582,4,128,32,1763725903455470,32
34583,0,128,0,1763725903455477,128
34583,4,128,32,1763725903455483,32
34584,0,128,0,1763725903455487,128
34584,4,128,32,1763725903455493,32
34585,0,128,0,1763725903455499,128
34585,4,128,32,1763725903455504,32
34586,0,128,0,1763725903455510,128
34586,4,128,32,1763725903455517,32
34587,0,128,0,1763725903455525,128
34587,4,128,32,1763725903455530,32
34588,0,128,0,1763725903455538,128
34588,4,128,32,1763725903455544,32
34589,0,128,0,1763725903455548,128
34589,4,128,32,1763725903455554,32
34590,0,128,0,1763725903455560,128
34590,4,128,32,1763725903455958,32
34591,0,128,0,1763725903456004,128
34591,4,128,32,1763725903456051,32
34592,0,128,0,1763725903456065,128
34592,4,128,32,1763725903456072,32
34593,0,128,0,1763725903456079,128
34593,4,128,32,1763725903456086,32
34594,0,128,0,1763725903456093,128
34594,4,128,32,1763725903456100,32
34595,0,128,0,1763725903456105,128
34595,4,128,32,1763725903456498,32
34596,0,128,0,1763725903456534,128
34596,4,128,32,1763725903456542,32
34597,0,128,0,1763725903456548,128
34597,4,128,32,1763725903456842,32
34598,0,128,0,1763725903456862,128
34598,4,128,32,1763725903457223,32
34599,0,128,0,1763725903457242,128
34599,4,128,32,1763725903458289,32
34600,0,128,0,1763725903460786,128
34600,4,128,32,1763725903460837,32
34601,0,128,0,1763725903460866,128
34601,4,128,32,1763725903460874,32
34602,0,128,0,1763725903460880,128
34602,4,128,32,1763725903460886,32
34603,0,128,0,1763725903460891,128
34603,4,128,32,1763725903460897,32
34604,0,128,0,1763725903460902,128
34604,4,128,32,1763725903460907,32
34605,0,128,0,1763725903460913,128
34605,4,128,32,1763725903460918,32
34606,0,128,0,1763725903460923,128
34606,4,128,32,1763725903460928,32
34607,0,128,0,1763725903460933,128
34607,4,128,32,1763725903460939,32
34608,0,128,0,1763725903460945,128
34608,4,128,32,1763725903460954,32
34609,0,128,0,1763725903460961,128
34609,4,128,32,1763725903460974,32
34610,0,128,0,1763725903461203,128
34610,4,128,32,1763725903461214,32
34611,0,128,0,1763725903461221,128
34611,4,128,32,1763725903461230,32
34612,0,128,0,1763725903461251,128
34612,4,128,32,1763725903461261,32
34613,0,128,0,1763725903461269,128
34613,4,128,32,1763725903461277,32
34614,0,128,0,1763725903461695,128
34614,4,128,32,1763725903461715,32
34615,0,128,0,1763725903462629,128
34615,4,128,32,1763725903462652,32
34616,0,128,0,1763725903462790,128
34616,4,128,32,1763725903462805,32
34617,0,128,0,1763725903462817,128
34617,4,128,32,1763725903462830,32
34618,0,128,0,1763725903462841,128
34618,4,128,32,1763725903462852,32
34619,0,128,0,1763725903463343,128
34619,4,128,32,1763725903463388,32
34620,0,128,0,1763725903466031,128
34620,4,128,32,1763725903466064,32
34621,0,128,0,1763725903466191,128
34621,4,128,32,1763725903466212,32
34622,0,128,0,1763725903466222,128
34622,4,128,32,1763725903466234,32
34623,0,128,0,1763725903466243,128
34623,4,128,32,1763725903466251,32
34624,0,128,0,1763725903466258,128
34624,4,128,32,1763725903466267,32
34625,0,128,0,1763725903466279,128
34625,4,128,32,1763725903466287,32
34626,0,128,0,1763725903466295,128
34626,4,128,32,1763725903466304,32
34627,0,128,0,1763725903466776,128
34627,4,128,32,1763725903466797,32
34628,0,128,0,1763725903467446,128
34628,4,128,32,1763725903467458,32
34629,0,128,0,1763725903467645,128
34629,4,128,32,1763725903467656,32
34630,0,128,0,1763725903467663,128
34630,4,128,32,1763725903467669,32
34631,0,128,0,1763725903467692,128
34631,4,128,32,1763725903467703,32
34632,0,128,0,1763725903467715,128
34632,4,128,32,1763725903467724,32
34633,0,128,0,1763725903467733,128
34633,4,128,32,1763725903467743,32
34634,0,128,0,1763725903468250,128
34634,4,128,32,1763725903468260,32
34635,0,128,0,1763725903471282,128
34635,4,128,32,1763725903471299,32
34636,0,128,0,1763725903471565,128
34636,4,128,32,1763725903471592,32
34637,0,128,0,1763725903471600,128
34637,4,128,32,1763725903471606,32
